                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.86443,                0.77775,                 1.2265,                0.96627,                0.94001,                 1.2663,                0.56066,                0.41996,                0.42637,                0.31324,                 1.3225,                 1.8447,                 1.6317,                 1.4271,                  2.493,                 1.6785,              0.0007129,              0.0007129,              0.0007129
                     77,                0.86739,                0.77541,                 1.2368,                0.97736,                0.94822,                 1.2771,                0.56291,                0.44837,                0.43868,                 0.3215,                 1.3033,                 1.8949,                 1.6326,                 1.4058,                 2.3525,                 1.6693,             0.00070001,             0.00070001,             0.00070001
                     78,                0.83698,                0.74468,                 1.2174,                0.93868,                0.91158,                 1.2583,                0.59259,                0.45463,                0.47191,                0.34181,                 1.2812,                 1.7381,                 1.6057,                 1.4202,                 2.1848,                 1.6937,             0.00068712,             0.00068712,             0.00068712
                     79,                0.85929,                0.77539,                 1.2254,                0.97813,                0.94403,                 1.2653,                0.68297,                 0.4613,                0.50878,                 0.3642,                 1.2951,                 1.6028,                 1.6198,                 1.4172,                 2.0348,                  1.647,             0.00067422,             0.00067422,             0.00067422
                     80,                0.85844,                0.78063,                 1.2266,                0.97232,                0.94949,                 1.2629,                0.63756,                0.43289,                0.47007,                0.32622,                 1.3554,                 1.7884,                 1.6362,                 1.5143,                 2.2272,                 1.7102,             0.00066133,             0.00066133,             0.00066133
                     81,                0.84066,                0.76656,                 1.2226,                0.96727,                0.93179,                 1.2673,                0.64802,                0.43193,                0.48276,                0.34412,                 1.2863,                 1.7666,                 1.6177,                  1.414,                 2.2956,                 1.6668,             0.00064844,             0.00064844,             0.00064844
                     82,                0.83251,                0.75284,                 1.2197,                0.94504,                0.91934,                 1.2666,                 0.6752,                 0.4775,                0.48377,                0.34031,                 1.3542,                 1.7178,                 1.6729,                 1.4332,                 2.1182,                 1.7047,             0.00063554,             0.00063554,             0.00063554
                     83,                0.83989,                0.75373,                  1.217,                0.94266,                0.92379,                 1.2576,                0.55468,                0.51784,                0.48536,                0.35054,                 1.3142,                 1.7597,                 1.6489,                 1.4055,                 2.1362,                 1.6577,             0.00062265,             0.00062265,             0.00062265
                     84,                0.83831,                 0.7459,                 1.2072,                0.95416,                0.92426,                 1.2485,                0.55932,                0.51717,                0.50931,                0.35926,                  1.362,                  1.714,                 1.6679,                 1.4735,                  2.106,                  1.666,             0.00060976,             0.00060976,             0.00060976
                     85,                0.83501,                0.73153,                 1.2066,                 0.9433,                0.89136,                 1.2436,                0.60248,                0.44837,                0.46224,                0.32198,                  1.377,                  1.864,                 1.6973,                 1.4352,                 2.4239,                 1.6785,             0.00059686,             0.00059686,             0.00059686
                     86,                0.83926,                0.72104,                 1.1925,                0.95314,                0.88494,                 1.2278,                0.63416,                0.49305,                0.51518,                0.36032,                 1.3673,                 1.6527,                 1.6612,                 1.4041,                 2.0777,                 1.6752,             0.00058397,             0.00058397,             0.00058397
                     87,                0.81772,                0.71212,                  1.195,                0.93544,                  0.858,                 1.2312,                0.69351,                0.51713,                0.52171,                0.35619,                 1.3587,                 1.7197,                 1.6724,                  1.467,                 2.1349,                 1.7214,             0.00057108,             0.00057108,             0.00057108
                     88,                0.80259,                0.72094,                 1.1916,                0.91155,                0.88135,                 1.2297,                0.67259,                0.43602,                0.46551,                0.33145,                 1.3264,                 1.8367,                 1.6588,                 1.4337,                 2.3167,                 1.7108,             0.00055818,             0.00055818,             0.00055818
                     89,                0.81717,                0.70807,                 1.1964,                0.92094,                0.85722,                 1.2374,                0.67239,                0.42663,                0.47269,                0.33103,                 1.3538,                 1.7515,                 1.6884,                 1.4299,                 2.2371,                 1.7178,             0.00054529,             0.00054529,             0.00054529
                     90,                0.81153,                0.69807,                 1.1943,                0.92151,                0.84822,                 1.2326,                0.63007,                0.42417,                0.46764,                0.33998,                 1.3204,                 1.7782,                 1.6435,                 1.4496,                 2.1804,                 1.6885,              0.0005324,              0.0005324,              0.0005324
                     91,                 0.7923,                0.71217,                  1.184,                0.90016,                0.87378,                 1.2263,                0.70174,                0.42921,                0.46983,                0.33252,                 1.3496,                 1.9398,                 1.6755,                 1.4547,                 2.4302,                 1.7237,              0.0005195,              0.0005195,              0.0005195
                     92,                0.78756,                0.69014,                 1.1936,                0.88907,                0.85004,                 1.2366,                0.56592,                0.46542,                0.48333,                0.33155,                 1.3466,                  1.757,                 1.7054,                 1.4352,                 2.2783,                 1.7033,             0.00050661,             0.00050661,             0.00050661
                     93,                0.78721,                0.69143,                  1.174,                 0.9009,                0.84646,                 1.2126,                0.68166,                0.39097,                0.43388,                0.31815,                 1.3517,                  1.866,                 1.6847,                 1.4174,                 2.4083,                 1.7096,             0.00049372,             0.00049372,             0.00049372
                     94,                0.78163,                 0.6794,                 1.1678,                 0.8828,                0.81821,                 1.2027,                0.60002,                0.49759,                0.47425,                 0.3495,                 1.2822,                 1.7694,                 1.6221,                 1.4378,                 2.2402,                 1.6905,             0.00048083,             0.00048083,             0.00048083
                     95,                0.75989,                0.67167,                 1.1647,                0.87007,                 0.8246,                 1.2018,                0.55708,                 0.4808,                0.46578,                0.32183,                  1.396,                 1.8835,                 1.7126,                 1.5246,                  2.376,                 1.7555,             0.00046793,             0.00046793,             0.00046793
                     96,                0.76552,                0.64387,                 1.1573,                0.87733,                0.78675,                 1.1982,                0.66248,                 0.4725,                 0.4857,                0.32969,                 1.4048,                 1.7904,                  1.736,                 1.5212,                  2.229,                 1.7571,             0.00045504,             0.00045504,             0.00045504
                     97,                0.77189,                0.67667,                 1.1638,                0.89246,                0.82992,                 1.2081,                0.59332,                 0.4749,                0.49357,                0.34598,                 1.3637,                 1.7129,                  1.694,                 1.4863,                 2.1451,                 1.7365,             0.00044215,             0.00044215,             0.00044215
                     98,                 0.7477,                0.64944,                 1.1531,                0.84627,                0.79746,                 1.1925,                0.69365,                0.42682,                0.49678,                0.35789,                 1.3448,                 1.7676,                 1.6811,                 1.4092,                 2.1881,                 1.7166,             0.00042925,             0.00042925,             0.00042925
                     99,                0.75646,                0.63588,                 1.1537,                0.85952,                0.77381,                 1.1878,                0.64933,                0.45623,                0.48062,                 0.3356,                   1.34,                 1.6867,                 1.6585,                 1.4805,                 2.1504,                  1.703,             0.00041636,             0.00041636,             0.00041636
                    100,                 0.7404,                0.64883,                 1.1481,                0.84031,                  0.793,                 1.1933,                0.59241,                0.50576,                0.48408,                0.34653,                 1.3668,                 1.7682,                 1.6834,                 1.4707,                 2.2108,                 1.7322,             0.00040347,             0.00040347,             0.00040347
